Timestamp,SOC,Pack_Voltage,Pack_Current,Bat_Temp_Avg,Bat_Temp_High,Pack_DCL,Pack_CCL,Pack_Ah,Pack_Res,High_Cell_V,Low_Cell_V
18:22:31.305065,49,48.20,0.40,21,21,18.00,3.50,1,176,24.30,18.50
18:22:31.833324,49,48.20,0.40,21,21,18.00,3.50,1,176,24.30,18.60
18:22:32.366301,49,48.20,0.40,21,21,18.00,3.50,1,176,24.40,18.50
18:22:32.892150,49,48.20,0.40,21,21,18.00,3.50,1,176,24.40,18.50
18:22:33.420393,49,48.20,0.40,21,21,18.00,3.50,1,176,24.30,18.60
18:22:33.950020,49,48.20,0.40,21,21,18.00,3.50,1,176,24.40,18.50
18:22:34.480880,49,48.20,0.40,21,21,18.00,3.50,1,176,24.40,18.50
18:22:35.012496,49,48.20,0.40,21,21,18.00,3.50,1,176,24.30,18.50
18:22:35.540333,49,48.20,0.40,21,21,18.00,3.50,1,176,24.20,18.40
18:22:36.069028,49,48.20,0.50,21,21,18.00,3.50,1,176,24.30,18.40
18:22:36.596129,49,48.20,0.50,21,21,18.00,3.50,1,176,24.30,18.50
18:22:37.124831,49,48.20,0.50,21,21,18.00,3.50,1,176,24.30,18.50
18:22:37.628645,49,48.20,0.40,21,21,18.00,3.50,1,176,24.30,18.60
18:22:38.155454,49,48.20,0.40,21,21,18.00,3.50,1,176,24.50,18.40
18:22:38.684687,49,48.20,0.40,21,21,18.00,3.50,1,176,24.30,18.50
18:22:39.215165,49,48.20,0.40,21,21,18.00,3.50,1,176,24.30,18.50
18:22:39.716871,49,48.20,0.40,21,21,18.00,3.50,1,176,24.40,18.40
18:22:40.239945,49,48.20,0.40,21,21,18.00,3.50,1,176,24.30,18.50
18:22:40.770369,49,48.20,0.40,21,21,18.00,3.50,1,176,24.30,18.60
18:22:41.303531,49,48.20,0.50,21,21,18.00,3.50,1,176,24.20,18.40
18:22:41.831429,49,48.20,0.40,21,21,18.00,3.50,1,176,24.20,18.60
18:22:42.357752,49,48.20,0.50,21,21,18.00,3.50,1,176,24.20,18.40
