Timestamp,SOC,Pack_Voltage,Pack_Current,Bat_Temp_Avg,Bat_Temp_High,Pack_DCL,Pack_CCL,Pack_Ah,Pack_Res
15:48:19.911996,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:20.443000,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:20.973128,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:21.501559,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:22.032049,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:22.560037,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:23.089977,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:23.618669,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:24.148443,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:24.679231,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:25.208570,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:25.736990,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:26.265082,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:26.795892,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:27.326852,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:27.858862,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:28.387431,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:28.915839,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:29.445834,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:29.947506,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:30.473458,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:30.974641,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:31.499285,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:32.029590,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:32.554477,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:33.083901,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:33.613491,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:34.143788,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:34.673020,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:35.200676,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:35.730239,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:36.261122,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:36.788752,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:37.320298,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:37.850981,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:38.381450,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:38.912572,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:39.441022,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:39.968963,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:40.498557,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:41.028729,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:41.554904,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:42.084226,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:42.615889,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:43.146017,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:43.675957,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:44.209690,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:44.737013,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:45.266826,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:45.796002,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:46.322762,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:46.853174,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:47.385201,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:47.914894,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:48.446511,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:48.977277,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:49.508474,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:50.034798,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:50.565747,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:51.096268,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:51.627349,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:52.157599,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:52.689220,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:53.216097,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:53.747801,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:54.276089,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:54.806032,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
15:48:55.334744,0.0,0.00,0.00,0.0,0.0,0.00,0.00,0.0,0.0
