Timestamp,SOC,Pack_Voltage,Pack_Current,Bat_Temp_Avg,Bat_Temp_High,Pack_DCL,Pack_CCL,Pack_Ah,Pack_Res,High_Cell_V,Low_Cell_V
20:24:07.133364,52,48.50,0.40,21,21,30.00,3.50,1,204,0.00,3.73
20:24:07.663121,52,48.50,0.40,21,21,30.00,3.50,1,204,0.00,3.73
20:24:08.191114,52,48.50,0.40,21,21,30.00,3.50,1,204,0.00,3.73
20:24:08.721880,52,48.50,0.40,21,21,30.00,3.50,1,204,0.00,3.73
20:24:09.250468,52,48.50,0.40,21,21,30.00,3.50,1,204,0.00,3.73
20:24:09.779763,52,48.50,0.40,21,21,30.00,3.50,1,204,0.00,3.73
20:24:10.310107,52,48.50,0.40,21,21,30.00,3.50,1,204,0.00,3.73
