Timestamp,SOC,Pack_Voltage,Pack_Current,Bat_Temp_Avg,Bat_Temp_High,Pack_DCL,Pack_CCL,Pack_Ah,Pack_Res,High_Cell_V,Low_Cell_V
20:18:33.675354,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:34.207278,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:18:34.734738,52,48.50,0.40,21,21,30.00,3.50,1,204,0.54,3.73
20:18:35.263075,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:35.792267,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:36.322131,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:18:36.854003,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:37.382758,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:37.913423,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:38.444751,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:38.973494,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:39.500545,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:40.030161,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:40.559080,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:18:41.088307,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:18:41.619581,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:42.148089,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:42.679010,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:18:43.209761,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:18:43.737445,52,48.50,0.40,21,21,30.00,3.50,1,204,0.54,3.73
20:18:44.265141,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:44.798462,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:45.327554,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:45.858682,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:46.386638,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:46.917278,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:18:47.445590,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:18:47.976084,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:48.506826,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:49.038998,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:49.568734,52,48.50,0.30,21,21,30.00,3.50,1,204,0.51,3.73
20:18:50.100305,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:50.630328,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:51.160055,52,48.50,0.30,21,21,30.00,3.50,1,204,0.51,3.73
20:18:51.688822,52,48.50,0.40,21,21,30.00,3.50,1,204,0.54,3.73
20:18:52.222481,52,48.50,0.40,21,21,30.00,3.50,1,204,0.54,3.73
20:18:52.752831,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:18:53.283935,52,48.50,0.30,21,21,30.00,3.50,1,204,0.54,3.73
20:18:53.813911,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:54.343532,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:18:54.875096,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:18:55.406233,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:55.933040,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:18:56.464239,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:56.996637,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:18:57.525818,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:18:58.055939,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:58.586153,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:59.112834,52,48.50,0.40,21,21,30.00,3.50,1,204,0.51,3.73
20:18:59.642881,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
20:19:00.171043,52,48.50,0.40,21,21,30.00,3.50,1,204,0.49,3.73
